origen,destino,distancia,tiempo
Santo_Domingo,Gran_Via,1.2,2.4
Gran_Via,Chueca,1.5,3.0
Chueca,Alonso_Martinez,1.8,3.6
Alonso_Martinez,Colon,1.2,2.4
Colon,Recoletos,1.6,3.2
Recoletos,Paseo_Prado,2.1,4.2
Atocha,Mendez_Alvaro,3.2,6.4
Mendez_Alvaro,Pacifico,2.8,5.6
Pacifico,Conde_Casal,3.1,6.2
Conde_Casal,Ventas,4.2,8.4
Ventas,Salamanca,2.9,5.8
Salamanca,Goya,1.8,3.6
Goya,Serrano,2.1,4.2
Serrano,Colon,1.9,3.8
Serrano,Ruben_Dario,1.4,2.8
Ruben_Dario,Gregorio_Marañon,1.7,3.4
Gregorio_Marañon,Chamartin,3.2,6.4
Chamartin,Pinar_Chamartin,2.8,5.6
Pinar_Chamartin,Begoña,1.9,3.8
Begoña,Fuencarral,2.4,4.8
Azca,Nuevos_Ministerios,1.3,2.6
Nuevos_Ministerios,Cuatro_Caminos,2.1,4.2
Cuatro_Caminos,Estrecho,2.8,5.6
Estrecho,Tetuán,2.3,4.6
Tetuán,Plaza_Castilla,3.1,6.2
Plaza_Castilla,Chamartin,4.2,8.4
Plaza_Castilla,Pinar_Chamartin,3.8,7.6
Plaza_Castilla,Herradura,5.2,10.4
Herradura,Tres_Cantos_Norte,8.9,17.8
Tres_Cantos_Norte,Colmenar_Norte,11.3,22.6
Colmenar_Norte,Soto_Real,13.5,27.0
Soto_Real,Miraflores,9.8,19.6
Miraflores,Alcobendas,8.4,16.8
Alcobendas,San_Sebastian,7.2,14.4
San_Sebastian,La_Moraleja,6.9,13.8
La_Moraleja,Alcobendas_Norte,5.8,11.6
Alcobendas_Norte,Fuencarral,7.3,14.6
San_Sebastian,Tres_Olivos,4.9,9.8
Tres_Olivos,Montecarmelo,3.8,7.6
Montecarmelo,Pinar_Chamartin,5.2,10.4
Parque_Retiro,Estacion_Atocha,1.8,3.6
Estacion_Atocha,Delicias,2.4,4.8
Delicias,Puerta_Toledo,3.1,6.2
Puerta_Toledo,Puente_Toledo,2.8,5.6
Reina_Sofia,Embajadores,2.1,4.2
Embajadores,Acacias,1.9,3.8
Acacias,Puerta_Toledo,2.3,4.6
Embajadores,Lavapies,1.8,3.6
Lavapies,Anton_Martin,1.5,3.0
Anton_Martin,Puerta_del_Sol,1.2,2.4
Tetuán,Bellas_Vistas,2.1,4.2
Bellas_Vistas,Cuatro_Caminos,1.9,3.8
Bellas_Vistas,Estrecho,2.3,4.6
Cuatro_Caminos,Rios_Rosas,1.8,3.6
Rios_Rosas,Iglesia,1.5,3.0
Iglesia,Quevedo,1.3,2.6
Quevedo,Arguelles,2.1,4.2
Arguelles,Ventura_Rodriguez,0.9,1.8
Ventura_Rodriguez,Plaza_España,1.1,2.2
Casa_Campo,Puerta_Angel,3.2,6.4
Puerta_Angel,Principe_Pio,2.1,4.2
Principe_Pio,Norte,1.8,3.6
Norte,Moncloa,2.4,4.8
Moncloa,Ciudad_Universitaria,3.1,6.2
Ciudad_Universitaria,Metropolitano,4.2,8.4
Metropolitano,Puerta_Hierro,5.3,10.6
Puerta_Hierro,El_Pardo,7.8,15.6
El_Pardo,Colmenar_Oeste,11.2,22.4
Colmenar_Oeste,Manzanares_Real,9.6,19.2
Manzanares_Real,Colmenar_Viejo,8.4,16.8
Colmenar_Viejo,Tres_Cantos,12.3,24.6
Pozuelo,Moncloa_Aravaca,5.8,11.6
Moncloa_Aravaca,Ciudad_Universitaria,4.2,8.4
Ciudad_Universitaria,Hospital_Clinico,2.9,5.8
Hospital_Clinico,Moncloa,1.8,3.6
Mostoles,Mostoles_Sur,4.2,8.4
Mostoles_Sur,Mostoles_Este,3.8,7.6
Mostoles_Este,Mostoles_Norte,5.1,10.2
Mostoles_Norte,Alcorcon_Oeste,4.9,9.8
Alcorcon_Oeste,Alcorcon,3.2,6.4
Fuenlabrada,Fuenlabrada_Centro,2.1,4.2
Fuenlabrada_Centro,Fuenlabrada_Norte,3.4,6.8
Fuenlabrada_Norte,Getafe_Sur,5.8,11.6
Getafe_Sur,Getafe,2.9,5.8
Leganes,Leganes_Centro,2.8,5.6
Leganes_Centro,Leganes_Norte,3.1,6.2
Leganes_Norte,Alcorcon_Este,4.7,9.4
Alcorcon_Este,Alcorcon,2.4,4.8
Torrejon,Torrejon_Norte,4.2,8.4
Torrejon_Norte,Torrejon_Este,5.3,10.6
Torrejon_Este,Alcala_Sur,6.9,13.8
Alcala_Sur,Alcala,3.8,7.6
Coslada,Coslada_Centro,2.1,4.2
Coslada_Centro,San_Fernando_Norte,3.4,6.8
San_Fernando_Norte,San_Fernando,2.3,4.6
San_Fernando,Rivas,7.8,15.6
Rivas,Vicalvaro,9.5,19.0
Vicalvaro,Estacion_Este,6.3,12.6
Estacion_Este,Avenida_America,5.2,10.4
Avenida_America,Canillejas,4.9,9.8
Canillejas,Barajas,6.8,13.6
Barajas,Aeropuerto_T1T2T3,8.4,16.8
Aeropuerto_T1T2T3,Aeropuerto_T4,5.9,11.8
Aeropuerto_T4,Valdebebas,7.2,14.4
Valdebebas,Sanchinarro,8.9,17.8
Sanchinarro,Las_Tablas,6.3,12.6
Las_Tablas,Montes_Luzon,5.2,10.4
Montes_Luzon,Fuencarral_Este,4.7,9.4
Fuencarral_Este,Fuencarral,3.9,7.8
Bernabeu,Lima,1.8,3.6
Lima,Santiago_Bernabeu,0.9,1.8
Santiago_Bernabeu,Cuzco,1.2,2.4
Cuzco,Nuevos_Ministerios,1.5,3.0
Paseo_Castellana,Raimundo_Fdez_Villaverde,2.8,5.6
Raimundo_Fdez_Villaverde,Cuatro_Caminos,1.9,3.8
Paseo_Castellana,Pez_Volador,3.2,6.4
Pez_Volador,Avenida_Brasil,2.8,5.6
Avenida_Brasil,Avenida_Presidente_Carmona,4.1,8.2
Avenida_Presidente_Carmona,Carretera_Cadiz,5.9,11.8
Carretera_Cadiz,Alcorcon_Oeste,7.3,14.6
Parque_Sur,Leganes_Sur,6.8,13.6
Leganes_Sur,Fuenlabrada_Sur,8.4,16.8
Fuenlabrada_Sur,Parla,11.2,22.4
Parla,Pinto,9.6,19.2
Pinto,San_Martin_Vega,8.7,17.4
San_Martin_Vega,Valdemoro,12.3,24.6
Valdemoro,Ciempozuelos,14.2,28.4
Ciempozuelos,Titulcia,18.9,37.8
Titulcia,Aranjuez,22.4,44.8
Aranjuez,Ocaña,25.7,51.4
Ocaña,Yuncos,18.9,37.8
Yuncos,Illescas,15.3,30.6
Illescas,Toledo,28.4,56.8
Campo_del_Moro,Virgen_Puerto,2.1,4.2
Virgen_Puerto,Principe_Pio,1.8,3.6
Virgen_Puerto,Estacion_Norte,2.4,4.8
Estacion_Norte,Moncloa,1.9,3.8
Calle_Mayor,Sol_Metro,0.8,1.6
Sol_Metro,Sevilla,1.1,2.2
Sevilla,Gran_Via,0.9,1.8
Sevilla,Canalejas,1.2,2.4
Canalejas,Neptuno,1.8,3.6
Neptuno,Atocha,1.4,2.8
Palacio_Real,Oriente,0.9,1.8
Oriente,Opera,0.7,1.4
Oriente,Santo_Domingo,1.1,2.2
Azca,Castellana,1.2,2.4
Castellana,Emilio_Castañar,2.1,4.2
Emilio_Castañar,Chamartin_Este,3.2,6.4
Chamartin_Este,Pinar_Chamartin_Sur,2.8,5.6
Chamartin,Paseo_Haber,4.2,8.4
Paseo_Haber,Arturo_Soria,5.3,10.6
Arturo_Soria,Concepcion,3.8,7.6
Concepcion,Avenida_America_Este,4.7,9.4
Avenida_America_Este,Canillejas,3.9,7.8
Rio_Manzanares,Parque_Linea,2.8,5.6
Parque_Linea,Complejo_Empresarial,3.4,6.8
Complejo_Empresarial,La_Gavia,4.2,8.4
La_Gavia,Villaverde,5.9,11.8
Villaverde,Usera_Sur,6.8,13.6
Usera_Sur,Puente_Toledo,4.7,9.4
Parque_Retiro_Estanque,Retiro_Puerta,1.8,3.6
Retiro_Puerta,IBERIA_Center,2.4,4.8
IBERIA_Center,Conde_Casal,3.1,6.2
Reina_Sofia,Atocha_Renfe,1.2,2.4
Atocha_Renfe,Delicias_Este,2.8,5.6
Delicias_Este,Mendez_Alvaro_Oeste,3.4,6.8
Gran_Via,Tribunal,1.5,3.0
Tribunal,Bilbao,1.8,3.6
Bilbao,Alonso_Martinez_Oeste,2.1,4.2
Alonso_Martinez_Oeste,Ruben_Dario_Norte,2.4,4.8
Puerta_del_Sol,Carmen,0.6,1.2
Carmen,Montera,0.4,0.8
Montera,Callao_Norte,0.7,1.4
Callao_Norte,Gran_Via_Centro,0.5,1.0
Plaza_Mayor,Cuchilleros,0.8,1.6
Cuchilleros,Latina,1.2,2.4
Latina,Tirso_Molina,1.8,3.6
Tirso_Molina,Embajadores_Sur,2.1,4.2
Atocha,Atocha_Cercanias,0.9,1.8
Atocha_Cercanias,Delicias_Oeste,1.8,3.6
Delicias_Oeste,Puente_Ventas,2.4,4.8
Puente_Ventas,Mendez_Alvaro_Sur,3.1,6.2
Bernabeu,Nuevos_Ministerios_Sur,2.1,4.2
Nuevos_Ministerios_Sur,Raimundo_Fdez,1.8,3.6
Raimundo_Fdez,Cuatro_Caminos_Este,2.3,4.6
Chamartin,Chamartin_Estacion,1.2,2.4
Chamartin_Estacion,Paseo_Castellana_Norte,1.8,3.6
Paseo_Castellana_Norte,Plaza_Castilla_Sur,2.4,4.8
Plaza_Castilla_Sur,Herradura_Sur,3.2,6.4
Herradura_Sur,Tres_Cantos_Sur,7.3,14.6
Tres_Cantos_Sur,Colmenar_Sur,9.8,19.6
Colmenar_Sur,Manzanares_Sur,11.2,22.4
Colmenar_Viejo,Colmenar_Centro,3.4,6.8
Colmenar_Centro,Colmenar_Norte,2.8,5.6
Alcala,Alcala_Universidad,2.1,4.2
Alcala_Universidad,Alcala_Este,3.4,6.8
Alcala_Este,Meco,5.9,11.8
Meco,Azuqueca,7.8,15.6
Azuqueca,Guadalajara,12.3,24.6
Guadalajara,Alovera,8.9,17.8
Alovera,Cabanillas,7.2,14.4
Cabanillas,Marchamalo,9.6,19.2
Marchamalo,Torrelaguna,18.9,37.8
Torrelaguna,Redueña,14.2,28.4
Redueña,La_Cabrera,11.8,23.6
La_Cabrera,Montejo,16.3,32.6
Montejo,Somosierra,24.8,49.6
Somosierra,Boceguillas,18.7,37.4
Boceguillas,Santo_Tome,22.4,44.8
Santo_Tome,Sepulveda,27.9,55.8
Sepulveda,Cantalejo,35.2,70.4
Cantalejo,Cuellar,41.8,83.6
Cuellar,Sanchonuño,18.9,37.8
Sanchonuño,Olmedo,24.6,49.2
Olmedo,Medina_Campo,28.4,56.8
Medina_Campo,Nava_Rey,32.7,65.4
Nava_Rey,Tordesillas,18.9,37.8
Tordesillas,Simancas,22.3,44.6
Simancas,Valladolid,28.4,56.8
Valladolid,Cigales,18.7,37.4
Cigales,Dueñas,24.6,49.2
Dueñas,Palencia,32.8,65.6
Palencia,Aguilar_Campoo,48.9,97.8
Aguilar_Campoo,Reinosa,52.4,104.8
Reinosa,Torrelavega,41.8,83.6
Torrelavega,Santander,28.9,57.8
Santander,Laredo,42.6,85.2
Laredo,Bilbao_Norte,68.9,137.8
Bilbao_Norte,Bilbao_Centro,12.3,24.6
Bilbao_Centro,Getxo,9.8,19.6
Getxo,Portugalete,7.2,14.4
Portugalete,Santurtzi,6.9,13.8
Santurtzi,Castro_Urdiales,18.7,37.4
Castro_Urdiales,Laredo_Sur,24.6,49.2
Laredo_Sur,Colindres,8.9,17.8
Colindres,Noja,12.4,24.8
Noja,Laredo_Este,15.8,31.6
Puente_Toledo,Marques_Vadillo,2.1,4.2
Marques_Vadillo,Pirámides,3.4,6.8
Pirámides,Urgel,2.8,5.6
Urgel,Oporto,1.9,3.8
Oporto,Carpetana,2.4,4.8
Carpetana,Sierra_Gudalupa,3.2,6.4
Sierra_Gudalupa,Casa_Reloj,4.1,8.2
Casa_Reloj,Leganes_Oeste,5.9,11.8
Leganes_Oeste,Parque_Sur_Oeste,6.8,13.6
Parque_Sur_Oeste,Fuenlabrada_Oeste,8.4,16.8
Fuenlabrada_Oeste,Mostoles_Sur_Este,7.2,14.4
Mostoles_Sur_Este,Alcorcon_Sur_Oeste,6.3,12.6
Alcorcon_Sur_Oeste,Boadilla_Este,9.6,19.2
Boadilla_Este,Pozuelo_Sur,7.8,15.6
Pozuelo_Sur,Aravaca_Sur,5.9,11.8
Aravaca_Sur,Moncloa_Sur,4.2,8.4
Moncloa_Sur,Arguelles_Sur,2.8,5.6
Arguelles_Sur,Plaza_España_Sur,1.9,3.8
Plaza_España_Sur,Gran_Via_Sur,2.4,4.8
Gran_Via_Sur,Callao_Sur,1.8,3.6
Callao_Sur,Puerta_del_Sol_Sur,1.2,2.4
Puerta_del_Sol_Sol_Metro,0.9,1.8
